FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,ABW,Aruba,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,16.8993,58.69,67.6304,75.7794,105.553,109.75,114.297,117.6,123.517,129.26,131.65,,132.661,135.338,135.142,135.337,,,,131.682,131.285,131.092,130.648,,
A,Annual,AFE,Africa Eastern and Southern,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,3.726378632,5.385194292,6.790295716,8.592968395999998,10.90363484,14.5370824,19.4153656,25.419916,33.0906496,40.86640679999999,47.844434230769245,56.51016192307692,62.17628461538462,67.55670384615384,71.26337692307692,75.61338076923077,74.06133461538462,75.35954615384615,79.20293333333332,79.30757307692308,85.048696,86.50736538461538,89.33559615384615,92.58905,104.73916666666668
A,Annual,AFG,Afghanistan,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.0,0.0,0.116942,0.879776,2.54662,4.91711,9.9133,18.0167,29.8268,38.2289,36.1187,47.0152,50.1967,53.149,56.1322,58.256,62.2553,67.0508,59.8109,59.6471,58.0461,56.6945,56.2655,55.5475,60.0991
A,Annual,AFW,Africa Western and Central,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,1.240855359090909,2.269712281818182,3.8766165,5.209999563636364,7.909497619047618,11.622936190476189,17.7782595,25.354720909090908,35.76950454545455,42.91576363636364,52.49632727272728,59.68352727272728,67.53095454545453,75.28056363636364,80.95224545454545,84.89246363636364,84.30377727272727,84.87452727272726,90.719495,87.64504090909091,91.58928636363636,94.5146590909091,97.17513181818184,105.5944,111.87686923076924
A,Annual,AGO,Angola,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.159347,0.447836,0.807955,1.95054,3.9784,8.35159,15.2614,23.8782,31.3891,36.1789,40.3668,49.8515,50.7801,50.7735,51.7384,49.3097,44.5502,44.0682,42.4589,45.8065,43.7804,44.3869,66.6008,70.052,69.7039
A,Annual,ALB,Albania,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.940923,12.4732,27.153,35.278,40.6495,49.7453,62.6026,76.8284,62.1342,83.1929,91.9299,106.474,120.275,126.772,115.701,117.33,116.284,125.1,93.8031,91.1635,91.1881,92.4843,98.395,92.9973,89.1329
A,Annual,AND,Andorra,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,35.8423,44.6896,49.3038,74.6812,78.5281,83.3882,86.7048,77.559,76.8932,76.9466,81.1526,83.6224,83.1208,85.0214,89.8341,98.8389,105.474,108.912,109.915,114.953,103.877,119.688,142.426,156.097,155.692
A,Annual,ARB,Arab World,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,7.693058895454544,12.0334455,16.248919577272723,20.132700000000003,27.150071363636368,36.48161863636364,46.80055863636364,57.69895636363638,67.96888363636363,80.25576318181817,91.24849363636362,98.20902272727272,104.76166818181818,111.20062727272726,111.19385909090909,112.72032727272726,108.66569090909093,104.05269090909088,103.94378571428572,105.5351318181818,105.40665454545454,108.73444090909092,110.7869,111.37548421052632,124.05977692307692
A,Annual,ARE,United Arab Emirates,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,40.8783,51.2759,61.3641,70.8971,83.1597,97.1993,110.185,137.458,148.473,159.114,157.473,162.894,183.741,205.105,204.192,206.839,220.412,214.701,214.842,209.033,194.468,186.301,195.625,199.424,203.206
A,Annual,ARG,Argentina,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,17.4342,17.9185,17.2676,20.4096,34.8114,56.4973,79.5273,100.962,115.052,128.462,138.252,145.511,152.574,158.191,142.325,142.241,145.147,139.758,131.224,125.303,121.181,130.353,131.484,137.706,140.235
