STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL,2011,2014,2017,2021,2022,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,MEX,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_0T1,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,Mexico,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Primary education or less,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,13.4002450555989,30.0333848606459,24.4810995306486,,31.7912026624538,35.2367921698715
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,MKD,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_GE_2_3,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,North Macedonia,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Secondary education or more,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,82.8862499697837,88.2713402669163,88.3376106967279,91.7628091648334,,93.78629732516231
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,UGA,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,LFP_OUTWORK,_T,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,Uganda,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Employment: Out of the workforce/labor force,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,3.49318193908947,31.2436862668231,45.4286464996249,50.14076992340139,,52.150731691568694
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,PHL,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,LFP_OUTWORK,_T,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,Philippines,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Employment: Out of the workforce/labor force,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,23.2172934502501,24.0836538395827,27.0936449097558,41.4243564351861,,44.3261388512243
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,COG,WB_FINDEX_ACCOUNT_T_D,M,Y_GE15,_T,PT_RESP,_T,_T,_T,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,"Congo, Rep.",Account ownership,Male,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,12.5145296088604,19.1590059913893,31.215146596395098,50.609429334885604,,60.558639145526506
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,URY,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE25,_T,PT_RESP,_T,_T,_T,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,Uruguay,Account ownership,Total,25 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,26.182725889666703,49.5360984379697,68.7183528789075,77.3529517637869,,75.9696490932443
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,MYS,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,LFP_OUTWORK,_T,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,Malaysia,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Employment: Out of the workforce/labor force,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,52.513229128892,75.168757641646,77.4238667972456,80.8913623844452,,83.44028942864121
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,HRV,WB_FINDEX_ACCOUNT_T_D,_T,Y15T24,_T,PT_RESP,_T,_T,_T,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,Croatia,Account ownership,Total,15 to 24 years old,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,75.2768643548732,57.773498206801,46.86027118959,76.11321395874519,,55.2353177810983
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,MDG,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_GE_2_3,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,Madagascar,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Secondary education or more,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,,,39.483740550233,,45.3427039243832,48.974588054441696
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,BGD,WB_FINDEX_ACCOUNT_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_0T1,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,A,Triennial,Bangladesh,Account ownership,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Primary education or less,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public,21.0617201154815,24.9048898301401,39.8387522839252,46.5663544550526,,31.171096654794102
